iter	Logloss
0	0.6374971432
1	0.5902319527
2	0.5494826697
3	0.5132406683
4	0.4794216378
5	0.4482832329
6	0.4224294733
7	0.4001620425
8	0.3808598818
9	0.3632307023
10	0.3489584166
11	0.3352062882
12	0.3266088543
13	0.3178222683
14	0.3098970384
15	0.3006530594
16	0.2956090205
17	0.2894673761
18	0.2829447585
19	0.2775615238
20	0.2727960995
21	0.2682735888
22	0.2643501353
23	0.26054774
24	0.2571202716
25	0.2544145286
26	0.2518765081
27	0.2497759551
28	0.2482025189
29	0.2463369547
30	0.2444032556
31	0.2426282663
32	0.2408777953
33	0.2393248223
34	0.2377689564
35	0.2363409287
36	0.2355699009
37	0.2343394087
38	0.2335001968
39	0.2327851553
40	0.2321667591
41	0.2315929726
42	0.2309122763
43	0.2301387662
44	0.2294424172
45	0.2287476463
46	0.2279775059
47	0.2275172633
48	0.2269140841
49	0.2262908582
50	0.2256140209
51	0.2251756496
52	0.2246443412
53	0.2240741611
54	0.224039607
55	0.2237370457
56	0.223342753
57	0.2229676339
58	0.2225340982
59	0.2221291482
60	0.2215745879
61	0.2212791529
62	0.2209084295
63	0.220673828
64	0.2203057983
65	0.2199058445
66	0.2196101532
67	0.2192452282
68	0.2187830923
69	0.2183752699
70	0.2180422615
71	0.2178067279
72	0.2174036104
73	0.2171237286
74	0.2168937598
75	0.2163031747
76	0.2159175044
77	0.2155884394
78	0.2152735885
79	0.2148538276
80	0.2146995475
81	0.2142840595
82	0.2140600315
83	0.2139134076
84	0.2135956092
85	0.2133631851
86	0.2131219627
87	0.2127390363
88	0.2126524632
89	0.2123365321
90	0.2122193804
91	0.2119103331
92	0.2118780665
93	0.2114937413
94	0.2114047639
95	0.2110262484
96	0.2109316235
97	0.2106974191
98	0.2104410225
99	0.2102715533
100	0.21009289
101	0.209860504
102	0.2097829257
103	0.2096260097
104	0.2093365623
105	0.2090938161
106	0.2090577069
107	0.2088364992
108	0.2087539703
109	0.2084617874
110	0.2082483244
111	0.2082326361
112	0.2080171574
113	0.2078700077
114	0.2078053853
115	0.2076394334
116	0.2075376288
117	0.2074037212
118	0.2071992892
119	0.2070625195
120	0.206939454
121	0.2068672735
122	0.2067130705
123	0.2065563598
124	0.2064043036
125	0.2062332621
126	0.2060423799
127	0.2059330628
128	0.2057607906
129	0.2055579488
130	0.2054216544
131	0.2053599879
132	0.2051100749
133	0.2049521581
134	0.2047726352
135	0.2045825363
136	0.2044528314
137	0.204323359
138	0.2041719948
139	0.2040461268
140	0.2039344106
141	0.2038446332
142	0.2037687966
143	0.2036390222
144	0.203446191
145	0.2032210339
146	0.2031779013
147	0.2029846057
148	0.2028332196
149	0.2026715872
150	0.202494569
151	0.202368021
152	0.2021178562
153	0.201834343
154	0.2017983319
155	0.2015884011
156	0.2014033722
157	0.2012988977
158	0.2011592746
159	0.2009516918
160	0.2005717036
161	0.2002350196
162	0.2000682209
163	0.1999040864
164	0.1995472135
165	0.1994497321
166	0.1992952127
167	0.1991575132
168	0.1987686532
169	0.1984582647
170	0.1982744577
171	0.1981559111
172	0.1980320513
173	0.1978856984
174	0.197497392
175	0.197330956
176	0.1971996352
177	0.1971139358
178	0.1971078333
179	0.1969217872
180	0.1966173152
181	0.1963912578
182	0.1961957808
183	0.1958893318
184	0.1956572926
185	0.1955473283
186	0.1953549834
187	0.1951646767
188	0.194993321
189	0.1946990888
190	0.1946507229
191	0.1945007778
192	0.1943010596
193	0.1941381498
194	0.1939571077
195	0.1938016881
196	0.1934840273
197	0.1932165427
198	0.1930301956
199	0.1927521923
200	0.192530696
201	0.1924092329
202	0.1922585755
203	0.1920689134
204	0.1918684437
205	0.191561188
206	0.1914064092
207	0.1911995089
208	0.1910711813
209	0.1909043009
210	0.1908042772
211	0.1905729054
212	0.190419501
213	0.1900846156
214	0.1898517976
215	0.1896165409
216	0.1894313514
217	0.1892355702
218	0.1891534059
219	0.1890040992
220	0.1888076992
221	0.1886476972
222	0.1884928022
223	0.1883305003
224	0.1881219158
225	0.1879690606
226	0.1877140449
227	0.1875336166
228	0.1873782352
229	0.1873383615
230	0.1871925788
231	0.1870558194
232	0.1869323058
233	0.1866892371
234	0.1864906103
235	0.1861702007
236	0.1859521109
237	0.1858102403
238	0.1854825921
239	0.1853036056
240	0.1849663183
241	0.1847758203
242	0.1847649847
243	0.1847170638
244	0.1844028202
245	0.1842167206
246	0.1839808638
247	0.1838690452
248	0.1837710835
249	0.1836188914
