Model,Mean_AUC,Fold_AUCs
Base+hour,0.8026023358364707,"[np.float64(0.7907014705739039), np.float64(0.7891354478725924), np.float64(0.8194361389918765), np.float64(0.7889278606965174), np.float64(0.8248107610474631)]"
Base+weekday,0.800030656520015,"[np.float64(0.7910620486682973), np.float64(0.7936007906359059), np.float64(0.8078028832442479), np.float64(0.7794577114427861), np.float64(0.8282298486088379)]"
Base+hour+weekday,0.8014854237708896,"[np.float64(0.798653679358366), np.float64(0.7935132853598525), np.float64(0.8088815698685337), np.float64(0.7774378109452736), np.float64(0.8289407733224222)]"
Base+cause_x_hour,0.79919775546362,"[np.float64(0.803436211786031), np.float64(0.7872566581220338), np.float64(0.8139714067545563), np.float64(0.7765024875621891), np.float64(0.8148220130932897)]"
Base+cause_x_weekday,0.803944396864369,"[np.float64(0.8030731973531618), np.float64(0.7899616006259201), np.float64(0.8279851329843511), np.float64(0.7765099502487562), np.float64(0.8221921031096563)]"
