road_type,intersection_degree,distance_to_major_road
trunk,3,1.4078812901884803
secondary,3,1.6647951167477157
primary,3,3.0615608558069556
secondary,3,3.3308675714250273
trunk_link,3,12.809968679008282
primary,3,5.526871365635013
trunk,3,2.499715049146943
primary,3,44.1705801979414
primary,3,13.13921572440491
residential,3,0.8459321577404626
trunk,3,4.259045787464902
primary,3,1.8475166816947888
residential,4,107.7718690880355
tertiary,1,452.8335542198718
secondary,3,5.182470451394876
secondary,3,8.613070119845585
tertiary,4,5.546089942410208
tertiary,3,14.15750127937041
secondary,3,3.715732166916142
tertiary,3,13.262600514340647
primary,4,14.792165270696069
secondary,4,0.7878854208182778
primary,4,1.6363092335851035
primary,3,10.835892379450549
primary,3,11.817271340777962
trunk,4,1.0341416688756395
residential,4,18.852194173003657
primary,4,9.812733362211686
secondary,4,14.665377978030463
trunk,3,7.562894480148626
tertiary,3,4.821618375311922
primary,3,2.1516631284927312
secondary,1,108.24551543314158
trunk_link,3,0.03734608378679253
trunk,4,6.572356050351773
tertiary,3,6.842207600861018
secondary,3,16.791663201760137
trunk,3,3.231126907174354
trunk,3,3.6752962086874734
trunk,3,3.5738657752557534
trunk_link,3,2.853791991249414
tertiary,3,12.483149100401581
trunk,4,4.654426288642967
primary,3,1.1421002850665953
living_street,3,1.2218438618268663
secondary,3,0.9830057887004823
tertiary,4,28.368501636623556
tertiary,1,19.246957424302618
primary,5,2.6160087255498587
secondary,3,0.6247590466494725
primary,3,4.732245918986358
secondary,3,4.309486466977936
primary,3,1.5857018362921047
trunk,4,5.906472856677479
trunk,3,4.465830127330364
trunk,1,3.4895908319023046
secondary,3,1.1591567883950193
residential,4,353.2704868839642
residential,3,308.8840793547411
tertiary,3,9.997974552026356
secondary,4,12.940525945354306
primary,4,14.360095839089054
primary,4,5.344972879852644
tertiary,3,6.175584178351317
tertiary,3,5.781493863005455
secondary,3,8.930732507775378
residential,3,26.555889314470356
primary,4,1.6788757975889608
tertiary,1,16.92653408198629
primary,3,4.297353393345428
secondary,4,2.2537820772985167
secondary,3,14.20613834199051
primary,4,17.503591876888056
primary,3,82.73963211801154
primary,3,15.593441015115296
trunk,4,0.7124480176985651
tertiary,3,11.2298966039955
tertiary,4,16.591440381118822
residential,3,42.421184725967514
tertiary,3,14.350463577062378
secondary,4,3.76187348594429
primary,1,14.400018123859187
primary,4,2.5410841778023086
primary,4,4.280159877640893
primary,3,2.3024596697546325
secondary,3,28.501510496295474
secondary,3,12.365749413996221
primary,3,1.0640800728058946
secondary,4,2.416714647280637
trunk,3,1.064430028329288
motorway,3,1.736694213789588
tertiary,3,34.55707461777967
primary_link,3,26.430625769933407
trunk,1,11.2022158354153
motorway,3,1.1967627763426574
primary,3,0.939385041294455
primary,3,6.958859526922431
primary,3,4.0845392066497395
secondary,4,0.48416645668250946
trunk,3,0.6545860934970791
tertiary,3,17.82245368798622
tertiary,3,662.0816209619865
residential,3,49.53148643711831
trunk,3,5.523560426278492
trunk,3,5.553320273864848
trunk,3,2.1520011099137464
trunk,3,10.346930960661652
primary,3,48.22484955643022
primary,4,27.666250175484507
residential,1,350.79915115507555
residential,1,361.3188651622954
trunk,3,1.3544271504223602
trunk_link,3,21.954515120520917
tertiary,4,9.856841699244029
primary,3,6.138244467241058
primary,3,7.201675060885287
tertiary,3,14.03935759841459
residential,3,159.649774351895
residential,3,2.391568503803002
tertiary,3,204.34926969846154
trunk,3,0.4702498414611685
secondary_link,3,5.292683104164021
secondary_link,4,3.5000235664236183
residential,3,19.429780711496957
primary,3,4.968311888887906
trunk,3,7.872652749318225
tertiary,3,24.66990367439059
primary,3,2.3644837821712565
tertiary,3,29.874955499507738
primary,3,4.440279454519272
primary,3,4.990449064611327
tertiary,3,877.0515234492038
secondary,3,0.3710121615154243
secondary,3,17.874536393472386
primary,3,16.244128949201368
primary_link,3,0.5587093367848311
secondary,3,5.823878748339117
primary,3,15.989635219891218
tertiary,3,19.33044787661576
primary,3,10.020535343321313
tertiary,3,9.451926462717992
residential,3,189.62568020659978
trunk,3,2.943632490120756
tertiary,3,14.948414664436536
primary,3,0.10311335455837577
secondary,3,25.90852865436114
secondary,4,0.25887905798884653
tertiary,3,64.91085564672518
residential,3,19.7444333783407
unclassified,3,103.44629203478827
tertiary,3,15.168638861923217
trunk,3,5.542676034354755
trunk,3,7.874968381910035
tertiary,3,15.31903805438539
primary_link,3,2.7823349490569504
primary_link,3,1.002192536261276
tertiary,3,19.217747703605152
trunk,4,5.01018787241248
residential,1,12.977400155280298
tertiary,1,3.0943687691014437
trunk,3,0.944143170234386
residential,4,12.710521184907428
trunk,3,10.850643215870262
primary,3,0.006552285675265991
tertiary,3,4.315579235300161
secondary,4,0.7379780519943302
secondary,3,7.223443732124142
secondary,3,2.6847353381558747
tertiary,3,108.74574931415168
tertiary,3,22.576165089002117
secondary,3,26.093990006213645
residential,3,13.8265769536662
secondary,3,11.847733288151009
residential,3,30.28339106485505
trunk,3,4.685983150620398
trunk,4,0.2371980070967373
secondary,3,16.719421019582843
residential,3,11.451230123796364
trunk,3,8.414213025823733
primary,3,15.60992812278854
motorway,3,2.556606763116296
tertiary,4,21.636565076725606
trunk,3,3.3529016701425722
primary,3,32.241109254520744
tertiary,3,59.69903665153015
motorway,3,4.548053844729954
secondary,3,21.23627653059513
trunk,3,2.177318767925006
trunk,3,3.552189951505812
tertiary,3,10.08125388237554
trunk,4,9.42984188041416
tertiary,3,21.747221287890202
trunk,3,3.920273768699212
trunk,3,11.652079035490027
motorway,3,0.6443285852219139
primary,3,7.621322820169105
primary,3,6.50542653539521
trunk,3,2.1001696022799146
tertiary,3,43.54769500711523
secondary,4,16.378467904652144
residential,3,2.5141660344038503
primary,4,4.442537884504783
trunk,3,2.133868933943942
tertiary,4,8.916888334617328
trunk,4,4.211498270589735
trunk,3,1.677921721022775
trunk_link,3,3.8813784720944677
secondary,3,4.613371827267168
tertiary,3,15.145672579292636
primary,3,2.0025518751561635
tertiary,3,9.956844005302422
secondary,4,6.602054173640757
residential,3,109.57146695358499
secondary,3,6.378900541905705
primary,3,11.09495036180575
tertiary,1,17.360288854679855
trunk,3,0.8519528543260262
primary,3,6.415802266788134
primary,3,10.757404557672011
residential,3,78.75887473186395
tertiary,3,4.326741183296149
tertiary,3,14.318008782296667
residential,4,8.720954068872716
tertiary,3,258.8782342418625
tertiary,4,17.324926401933737
tertiary,3,5.670162780349043
tertiary,3,12.650342026110488
tertiary,3,5.266518538800972
primary,3,3.6649000338671907
trunk,3,0.10606020302862719
primary,3,3.4705063378805976
primary,3,0.478785109720758
secondary,3,8.459708279882408
tertiary,3,134.12626574575796
trunk,3,5.188274807062347
trunk,4,0.7358699503593277
primary,3,0.057603411785133375
tertiary,3,10.593387057423609
tertiary,3,18.75855929528474
tertiary,3,9.10754639192834
trunk,3,1.601711891567536
primary,4,15.462500357524105
trunk,3,1.6687340624981444
tertiary,4,17.297184820775836
residential,3,16.795220871203465
primary,3,9.889397240143364
trunk,3,3.594766013897832
primary,4,0.3309831775217987
residential,1,187.08743616074867
primary,3,3.1606165860806446
trunk,3,4.452864427459639
primary,4,0.4034742986061904
primary,3,0.8592487850322175
primary,3,3.44385384266873
secondary,4,3.5959671830494386
trunk,3,3.50680654571025
residential,3,10.444484039698322
secondary,4,4.514923875008742
tertiary,4,24.508023668496318
motorway,3,3.423805140047329
secondary,3,10.319639547806423
trunk_link,3,0.6898423748967114
