,CatBoost,LightGBM,XGBoost,RandomForest,ExtraTrees,TabPFN
CatBoost,1.0,0.7747193003480785,0.7801729517007495,0.7008199831998805,0.596627949434542,0.8434282653015676
LightGBM,0.7747193003480785,1.0,0.8217292071911992,0.7598595104372788,0.6437998452834804,0.7238169932674412
XGBoost,0.7801729517007495,0.8217292071911992,1.0,0.7832947351110124,0.6570139799392307,0.7468077497362899
RandomForest,0.7008199831998805,0.7598595104372788,0.7832947351110124,1.0,0.8522543033479341,0.7002148025925449
ExtraTrees,0.596627949434542,0.6437998452834804,0.6570139799392307,0.8522543033479341,1.0,0.5945213717001532
TabPFN,0.8434282653015676,0.7238169932674412,0.7468077497362899,0.7002148025925449,0.5945213717001532,1.0
